Target (OIS)	Target (LIBOR)	Caplet Vola Analytic Single-Curve	Caplet Vola Monte-Carlo Single-Curve	Caplet Vola Analytic Multi-Curve Fenton-Wilkinson	Caplet Vola Analytic Multi-Curve Ju	Caplet Vola Analytic Multi-Curve Ho	Caplet Vola Analytic Multi-Curve Drift-Freeze	Caplet Vola Analytic Multi-Curve Integrated-Expectation	Caplet Vola Monte-Carlo Multi-Curve	Caplet Value Analytic Single-Curve	Caplet Value Monte-Carlo Single-Curve	Caplet Value Analytic Multi-Curve Fenton-Wilkinson	Caplet Value Analytic Multi-Curve Ju	Caplet Value Analytic Multi-Curve Ho	Caplet Value Analytic Multi-Curve Drift-Freeze	Caplet Value Analytic Multi-Curve Integrated-Expectation	Caplet Value Monte-Carlo Multi-Curve	Swaption Vola Analytic Single-Curve	Swaption Vola Monte-Carlo Single-Curve	Swaption Vola Analytic Multi-Curve Drift-Freeze	Swaption Vola Analytic Multi-Curve Integrated-Expectation	Swaption Vola Monte-Carlo Multi-Curve	Swaption Value Analytic Single-Curve	Swaption Value Monte-Carlo Single-Curve	Swaption Value Analytic Multi-Curve Drift-Freeze	Swaption Value Analytic Multi-Curve Integrated-Expectation	Swaption Value Monte-Carlo Multi-Curve	Swaption Exercise Date	Swaption Number Of Periods	Numeraire Single-Curve	Discount Single-Curve	OIS Spot Rate Single-Curve	Numeraire Multi-Curve	OIS Spot Rate Multi-Curve	LIBOR Spot Rate Multi-Curve	OIS Forward Rate Multi-Curve	LIBOR Forward Rate Multi-Curve	Time	
150.80	158.74	257.57	246.00	207.51	193.36	178.29	168.66	168.66	189.55	0.06	0.05	0.13	0.12	0.11	0.11	0.11	0.12	218.11	187.67	166.09	167.40	206.19	0.23	0.20	0.39	0.39	0.45	1.00	2.00	100.05	99.95	0.17	100.05	0.17	0.48	0.17	0.48	0.50	
136.88	144.09	238.68	202.93	220.62	197.30	183.11	167.42	167.42	204.58	0.10	0.09	0.21	0.19	0.18	0.17	0.17	0.20	156.03	138.29	142.46	140.23	188.45	1.20	1.08	1.60	1.58	2.00	1.00	6.00	100.14	99.86	0.24	100.14	0.23	0.57	0.26	0.57	1.00	
127.55	134.26	222.99	164.11	229.53	212.33	182.48	166.18	166.18	198.93	0.15	0.13	0.31	0.29	0.27	0.25	0.25	0.28	125.95	112.34	125.99	120.92	172.70	2.52	2.28	3.21	3.10	4.17	1.00	10.00	100.29	99.74	0.32	100.28	0.31	0.72	0.37	0.73	1.50	
121.29	127.68	209.84	132.25	239.99	235.62	181.58	165.12	165.12	181.83	0.27	0.20	0.43	0.42	0.38	0.35	0.35	0.38	110.52	98.69	116.43	110.11	133.55	4.03	3.63	5.06	4.81	5.71	1.00	14.00	100.92	99.55	0.50	103.20	0.48	0.89	0.63	0.94	2.00	
117.10	123.26	198.73	119.04	257.64	257.04	180.53	163.32	163.32	141.68	0.36	0.27	0.53	0.53	0.47	0.45	0.45	0.41	102.14	91.11	111.95	104.74	109.85	5.58	5.02	7.05	6.64	6.93	1.00	18.00	3482.44	99.24	0.63	14822.73	0.63	0.96	0.82	1.13	2.50	
114.29	120.31	189.25	112.09	275.70	275.66	179.22	161.10	161.10	110.36	0.45	0.33	0.63	0.63	0.56	0.54	0.54	0.42	97.05	?	107.45	100.49	?	7.16	?	8.91	8.38	?	1.00	22.00	99999.00	98.83	0.78	99999.00	0.79	0.99	1.01	1.30	3.00	
112.41	118.32	181.09	112.00	294.61	294.61	176.41	158.17	158.17	86.59	0.54	0.42	0.73	0.73	0.66	0.63	0.63	0.43	93.82	?	103.59	97.23	?	8.68	?	10.58	9.98	?	1.00	26.00	99999.00	98.33	0.97	99999.00	0.96	1.00	1.21	1.50	3.50	
111.14	116.99	174.03	125.62	314.07	314.07	172.17	155.06	155.06	89.45	0.63	0.54	0.82	0.82	0.75	0.72	0.72	0.52	91.83	?	102.08	95.74	?	10.04	?	12.18	11.48	?	1.00	30.00	99999.00	97.74	1.24	99999.00	1.20	1.20	1.41	1.70	4.00	
110.30	116.10	167.86	118.96	334.07	334.07	167.21	152.02	152.02	84.72	0.71	0.61	0.91	0.91	0.84	0.81	0.81	0.57	90.52	?	99.67	93.95	?	11.28	?	13.44	12.72	?	1.00	34.00	99999.00	97.05	1.39	99999.00	1.33	1.33	1.60	1.88	4.50	
130.05	136.90	162.44	116.03	354.64	354.64	162.20	149.15	149.15	95.42	0.79	0.68	0.98	0.98	0.91	0.89	0.89	0.70	170.05	120.62	151.78	160.93	90.85	1.13	0.95	1.32	1.35	0.94	3.50	2.00	99999.00	96.28	1.57	99999.00	1.61	1.61	1.78	2.06	5.00	
